kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
531367,Adamov,102,74,72,5,0,0,9,0,8,14,0,2,0,0,0,7,0,0,0,21,0,0,2,0,0,0,0,4,0
531111,Bernardov,157,89,89,5,0,0,1,0,7,14,0,1,1,0,0,11,1,0,0,30,0,2,1,0,1,0,1,11,2
533971,Bílé Podolí,502,299,299,18,1,0,30,0,30,24,1,5,2,0,0,11,0,0,4,136,0,1,3,0,0,1,2,30,0
530964,Bludov,28,23,23,5,0,0,3,0,2,1,0,0,0,0,0,4,0,0,0,5,0,0,1,0,0,0,0,2,0
533980,Bohdaneč,337,214,214,12,0,0,16,0,11,17,0,1,0,0,0,15,0,0,7,105,0,0,6,0,0,0,0,22,2
530832,Brambory,97,63,62,10,0,0,3,0,3,4,0,0,0,0,0,1,0,0,0,36,0,0,0,0,3,0,0,2,0
531286,Bratčice,332,224,222,20,0,1,21,0,18,11,1,1,2,0,0,23,0,0,7,82,0,3,13,0,1,0,0,17,1
533998,Církvice,1008,650,642,59,3,1,87,0,81,59,0,3,4,0,0,55,0,1,13,176,0,0,18,0,2,2,1,77,0
534005,Čáslav,8029,4866,4833,429,16,5,718,2,352,403,43,29,53,4,9,499,3,2,197,1415,1,11,171,3,28,7,12,410,11
529524,Čejkovice,34,29,29,1,0,0,1,0,4,2,0,0,0,0,0,0,0,0,1,8,0,1,4,0,0,0,0,7,0
534013,Černíny,331,226,225,18,0,0,13,0,28,40,2,2,2,1,0,13,0,0,3,69,0,1,9,0,5,0,0,18,1
534021,Červené Janovice,558,355,347,33,1,0,51,0,35,43,1,2,1,0,1,28,0,0,4,90,0,0,19,0,0,2,1,34,1
534030,Čestín,387,242,239,25,0,0,13,0,30,15,1,1,1,0,0,18,0,0,9,92,0,0,2,0,1,1,0,30,0
529559,Dobrovítov,98,67,67,2,0,0,9,0,10,5,1,4,0,0,0,6,0,0,2,19,0,0,1,0,0,3,0,5,0
531260,Dolní Pohleď,75,46,45,3,0,0,4,0,2,9,0,0,0,0,0,6,0,0,0,8,0,0,6,0,1,0,0,6,0
531341,Drobovice,328,219,218,7,1,0,30,0,13,28,4,4,0,0,0,20,0,0,2,91,0,0,3,0,2,0,0,11,2
531197,Hlízov,450,309,307,34,1,2,22,0,52,18,1,0,5,0,0,35,0,0,8,78,0,0,12,0,4,0,0,34,1
531430,Horka I,327,207,206,29,0,0,9,0,20,19,2,2,2,0,0,8,0,1,5,78,0,0,6,1,1,0,0,22,1
534056,Horka II,346,216,216,15,0,0,21,0,24,19,5,1,4,0,1,20,0,0,4,64,0,1,3,0,0,0,1,33,0
531359,Horky,319,185,183,29,0,0,26,0,9,18,1,1,4,0,0,16,1,0,8,53,0,2,6,0,0,0,0,8,1
531481,Horušice,152,91,90,8,0,0,12,0,7,6,0,2,1,0,0,3,0,0,2,43,0,0,1,0,0,0,0,5,0
534064,Hostovlice,200,121,118,12,2,0,14,0,7,14,0,4,1,1,0,4,0,0,0,40,0,0,5,0,0,0,2,12,0
531413,Hraběšín,102,66,66,4,0,0,3,0,5,10,0,0,1,0,0,7,0,0,0,32,0,0,1,0,0,0,0,3,0
534081,Chabeřice,216,137,137,16,0,0,6,0,13,9,0,1,0,0,0,13,0,0,5,54,0,0,4,0,1,0,0,15,0
534099,Chlístovice,607,369,368,21,4,0,19,0,43,79,1,3,3,1,0,41,0,0,5,110,1,0,8,0,1,1,1,26,0
534102,Chotusice,564,353,351,17,1,0,33,0,23,28,4,2,6,0,0,43,0,0,12,138,0,2,12,0,1,0,1,28,0
534129,Kácov,659,427,424,50,3,0,58,0,42,19,2,2,2,0,0,39,0,0,19,117,0,1,21,0,0,4,0,44,1
534137,Kluky,392,254,254,23,0,0,26,0,22,16,1,3,0,0,0,31,0,0,4,104,0,0,3,0,1,3,0,17,0
531405,Kobylnice,153,88,86,9,0,0,6,0,9,12,0,1,2,0,0,10,0,0,2,22,0,0,1,0,0,0,0,12,0
551465,Košice,42,28,27,1,0,0,1,0,5,1,0,0,1,0,0,2,0,0,4,3,0,0,3,0,0,0,0,6,0
534153,Krchleby,319,183,183,8,0,0,21,0,15,17,3,1,1,0,2,14,1,0,10,62,0,0,3,0,1,0,1,21,2
534161,Křesetice,528,300,298,34,1,0,27,0,17,21,1,3,2,4,0,34,0,0,7,106,0,0,17,0,1,0,1,22,0
533955,Kutná Hora,16219,9916,9862,1068,41,7,743,4,1117,754,94,74,142,13,10,1006,5,8,518,2784,3,22,461,3,55,16,6,891,17
534170,Ledečko,149,105,102,8,1,0,8,0,16,3,2,0,0,0,0,11,0,0,0,37,0,0,2,0,1,2,0,10,1
